text,goal_info,match_info,match_result,substitution,penalty,card_info
"Sau chiến thắng 5-2 trước Everton ngay trên sân khách, Arsenal rất tự tin trước trận đấu với Norwich trên sân nhà trong khuôn khổ vòng 4 cúp Liên đoàn Anh. HLV Wenger khẳng định ông sẽ trao cơ hội cho những cầu thủ dự bị và những cầu thủ trẻ, nhưng xét về đẳng cấp và tên tuổi rõ ràng Pháo thủ vẫn được đánh giá cao hơn rất nhiều. Đấy là chưa kể họ có lợi thế sân nhà và chơi rất tốt trước Norwich, với 7 chiến thắng trong 10 trận gần nhất. Tóm lại, thầy trò Wenger dù không tung ra sân đội hình mạnh nhất song vẫn được đánh giá cao hơn đối thủ rất nhiều.",0,1,0,0,0,0
"Dù Arsenal có những lợi thế, song cơ hội để Norwich làm nên một cú sốc ngay tại sân Emirates là hoàn toàn có thể xảy ra. HLV Daniel Farke đang biến “Chim hoàng yến” trở thành đội bóng khó chịu với mọi đối thủ với lối chơi phòng ngự phản công rất hiệu quả. Họ đang đạt phong độ rất cao khi bất bại liên tiếp trong 9 trận trên mọi đấu trường, trong đó có 5 lần giữ sạch lưới. Norwich cũng đang đạt phong độ rất tốt trên sân khách với 5 trận toàn thắng. Với những thành tích ấn tượng gần đây, thầy trò Daniel Farke đã sẵn sàng khiến Arsenal phải ôm hận ngay trên sân nhà.",0,0,0,0,0,0
"HLV Wenger luôn tận dụng những trận đấu ở cúp Liên đoàn Anh để trao cơ hội cho những cầu thủ trẻ và những cầu thủ dự bị, bởi vậy không quá bất ngờ khi 11 cầu thủ đá chính trước Norwich đều là những gương mặt trẻ hoặc không được ra sân thường xuyên. Vị chiến lược gia người Pháp đã bố trí sơ đồ 3-4-2-1 với Giroud chơi cao nhất trên hàng công, hỗ trợ anh là bộ đôi Walcott và Iwobi. Ở tuyến giữa, Wilshere đá cặp tiền vệ trung tâm với Coquelin, hai cánh là sự có mặt của Nelson và Maitland-Niles. Ở hàng thủ, Elneny chơi ở hàng phòng ngự 3 người bên cạnh Debuchy và Holding. Trong khung gỗ là thủ môn Matt Macey.",0,0,0,0,0,0
"Bên kia chiến tuyến, dù khẳng định quyết tâm rất lớn song HLV Daniel Farke lại không tung ra sân đội hình mạnh nhất. Những cầu thủ quan trọng nhất của đội khách như Wes Hoolahan hay Cameron Jerome đều không ra sân ngay từ đầu. Với việc không tung ra sân đội hình mạnh nhất có thể, cơ hội để “Chim hoàng yến” gây sốc tại Emirates đang rất khó khăn.",0,0,0,0,0,0
Arsenal chơi rất chủ động trước Norwich,0,0,0,0,0,0
"Với lợi thế sân nhà cùng quyết tâm rất cao, Arsenal đã chủ động dồn lên phần sân của đối thủ ngay sau tiếng còi khai cuộc. Phút 5, Wilshere có cú đá phạt điểm rơi rất khó chịu, Giroud bật cao đánh đầu nhưng bóng đi không trúng đích. 2 phút sau đó, đội khách có câu trả lời với cú dứt điểm của Murphy ở cự ly gần, xong cú sút của cầu thủ mang áo số 11 lại không trúng tâm bóng và không gây khó khăn cho thủ thành Macey. Phút 13, Iwobi có cơ hội dứt điểm ngay trước vòng cấm của Norwich, song cú đá của cầu thủ này lại đi vọt xà ngang. Trong khoảng 15 phút đầu trận chứng kiến sự chủ động hoàn toàn đến từ đội chủ nhà, song họ vẫn chưa tạo ra cơ hội rõ ràng nào. Trong khi đó Norwich chơi phòng ngự số đông và chờ đợi những sai lầm từ phía Arsenal để tung đòn trừng phạt.",0,0,0,0,0,0
"Phút 18, Norwich có đường lên bóng cực kỳ lợi hại. Có tới 4 cầu thủ đội khách tham gia vào đợt phản công nhanh nhưng chỉ có 3 cầu thủ bên phía đội chủ nhà tham gia phòng ngự, song Vrancic lại quá tham bóng khi chọn cách dứt điểm thay vì phối hợp với các đồng đội. Cú sút của anh đi chệch khung thành Arsenal ở cự ly khá gần. 2 phút sau đó đội chủ nhà cũng có cơ hội mở tỉ số khi Holding bật cao đánh đầu trong vòng cấm đối phương sau quả phạt góc, nhưng cú đánh đầu rất căng của cầu thủ người Anh lại bị thủ thành đối phương cản phá xuất sắc.",0,0,0,0,0,0
"Arsenal vẫn đang cầm bóng vượt trội và tạo ra một thế trận lấn lướt, song sự nóng vội đang khiến họ gặp khó trong việc tìm kiếm bàn thắng. Những ngôi sao được kỳ vọng trên hàng công như Giroud, Walcott hay Giroud đều chưa thể hiện được nhiều từ đầu trận. Tấn công nhiều không ghi được bàn thắng, đội chủ nhà đã phải trả giá đắt. Phút 34, Maddison tung một đường chọc khe loại bỏ hoàn toàn hàng thủ Arsenal giúp Murphy đối mặt với thủ thành Macey, ngôi sao mang áo số 11 đã bình tĩnh tâng bóng qua đầu thủ thành đội chủ nhà mở tỉ số cho Norwich.",1,0,0,0,0,0
Murphy mở tỉ số cho đội khách,1,0,0,0,0,0
"Đội khách đang chơi rất tự tin ngay tại sân Emirates. Phút 39, suýt nữa tỉ số đã là 2-0 cho Norwich nếu thủ thành Macey không đổ người xuất sắc cản phá cú đá của Oliveira bên phía Norwich. Bộ ba hậu vệ Debuchy, Holding và Elneny đang không hoàn thành nhiệm vụ, họ không có sự gắn kết và để đối phương vượt qua rất dễ dàng. Phút 41, Walcott có tình huống dứt điểm đầu tiên ở trận đấu này, song cú đá ngay trước vòng cấm Norwich của cầu thủ người Anh không gây khó khăn cho thủ thành Gunn của đội khách. Phút 45, lại là Walcott tung ra cú dứt điểm từ xa nhưng bóng đi quá nhẹ và thủ thành đối phương dễ dàng ôm gọn bóng, đó cũng là cơ hội cuối cùng mà Pháo thủ tạo ra sau 45 phút đầu tiên.",0,0,0,0,0,0
